id,name,email,password,rolesId
1,ayu,ayu@gmail.com,123456,3
10,david,david@gmail.com,123456,1
11,widia,widia@gmail.com,123456,1
12,ayu ari,ayu_ari@gmail.com,123456,1
13,yuni,yuni@gmail.com,123456,1
14,malik,malik@gmail.com,123456,1
15,mukijan,mukijan@gmail.com,123456,5
2,guntur,guntur@gmail.com,123456,2
3,adi,adi@gmail.com,123456,2
4,apit,apit@gmail.com,123456,1
5,ariska,ariska@gmail.com,123456,1
6,bayu,bayu@gmail.com,123456,1
7,dewi,dewi@gmail.com,123456,2
8,ahmad,ahmad@gmail.com,123456,4
9,gede,gede@gmail.com,123456,1
